AnimalID,Sex,Season,Year,Kill_ID,Period,Start Date,Start time,End Date,End Time,StartStalk,StartCons,EndCons,StartLib,EndLib,StillnessPrior,MaternalStatus,# ind,Scavenger1,Scavenger2,Scavenger3,Pick up young?,Comments,Prey Species,Prey Age Class,Prey Age,Prey Sex,"If Male, antler condition",MarrowColor,MarrowConsistency
202,F,Late Winter,2016,313.0,Forage,2016-03-13,06:06:00,2016-03-14,07:23:00,,,,,,,Yearlings,2,Grizzly,,,,,Elk,Old adult (10+ yrs),16,Female,00:00:00,white,solid
202,F,Late Winter,2016,313.0,Forage,2016-03-14,10:02:00,2016-03-17,01:46:00,,,,,,,Yearlings,2,Grizzly,,,,,Elk,Old adult (10+ yrs),16,Female,00:00:00,white,solid
202,F,Late Winter,2016,313.0,Handling,2016-03-17,01:47:00,2016-03-22,01:10:00,,,,,,,Yearlings,2,Grizzly,,,,,Elk,Old adult (10+ yrs),16,Female,00:00:00,white,solid
202,F,Late Winter,2018,950.0,Forage,2018-02-25,03:58:00,2018-02-26,00:44:00,,,,,,,,1,Coyote,Fox,,,,Elk,Adult,59,Female,00:00:00,White-Pink,Solid
202,F,Late Winter,2018,950.0,Kill,2018-02-26,00:45:00,2018-02-26,00:47:00,00:40:00,00:45:16,00:46:10,,00:48:00,,,1,Coyote,Fox,,,,Elk,Adult,59,Female,00:00:00,White-Pink,Solid
202,F,Late Winter,2018,950.0,Handling,2018-02-26,00:48:00,2018-03-04,08:25:00,,,,,,,,1,Coyote,Fox,,,,Elk,Adult,59,Female,00:00:00,White-Pink,Solid
202,F,Early Winter,2016,340.0,Forage,2016-12-07,03:15:00,2016-12-07,18:24:00,,,,,,,Kittens,5,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Early Winter,2016,340.0,Kill,2016-12-07,18:25:00,2016-12-07,18:25:00,,,,,,,Kittens,5,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Early Winter,2016,340.0,Handling,2016-12-07,18:26:00,2016-12-08,10:53:00,,,,,,,Kittens,5,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Forage,2018-05-28,13:29:00,2018-05-29,14:08:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Kill,2018-05-29,14:09:00,2018-05-29,14:09:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Handling,2018-05-29,14:10:00,2018-05-29,23:39:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Forage,2018-06-09,11:35:00,2018-06-11,20:28:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Kill,2018-06-11,20:29:00,2018-06-11,20:29:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Handling,2018-06-11,20:30:00,2018-06-12,04:13:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Forage,2018-06-12,04:14:00,2018-06-14,00:41:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Kill,2018-06-14,00:42:00,2018-06-14,00:42:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Handling,2018-06-14,00:43:00,2018-06-14,10:40:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Forage,2018-06-25,06:56:00,2018-06-27,20:34:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Kill,2018-06-27,20:35:00,2018-06-27,20:35:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Handling,2018-06-27,20:36:00,2018-06-29,05:07:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Forage,2018-07-05,10:38:00,2018-07-07,23:43:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Kill,2018-07-07,23:44:00,2018-07-07,23:44:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Handling,2018-07-07,23:45:00,2018-07-09,11:00:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Forage,2018-07-09,11:01:00,2018-07-15,06:51:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Kill,2018-07-15,06:52:00,2018-07-15,06:53:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2018,,Handling,2018-07-15,06:54:00,2018-07-16,09:13:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Early Winter,2018,,Handling,2018-11-20,23:54:00,2018-11-24,23:47:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Early Winter,2018,,Forage,2018-12-07,01:35:00,2018-12-09,01:24:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Early Winter,2018,,Handling,2018-12-09,01:25:00,2018-12-09,14:47:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Late Winter,2019,,Forage,2019-03-05,12:52:00,2019-03-05,13:01:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Late Winter,2019,,Handling,2019-03-05,13:02:00,2019-03-11,10:01:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Late Winter,2019,,Forage,2019-03-11,10:02:00,2019-03-14,16:14:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Late Winter,2019,,Kill,2019-03-14,16:15:00,2019-03-14,16:15:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Late Winter,2019,,Handling,2019-03-14,16:16:00,2019-03-15,16:09:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Late Winter,2019,,Forage,2019-03-20,13:36:00,2019-03-21,00:26:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Late Winter,2019,,Kill,2019-03-21,00:27:00,2019-03-21,00:27:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Late Winter,2019,,Handling,2019-03-21,00:28:00,2019-03-22,00:39:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2019,,,2019-05-05,04:00:00,2019-05-05,04:59:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,F,Summer,2019,,,2019-06-05,18:00:00,2019-06-05,19:59:00,,,,,,,,1,Unknown,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
